date,military_spending_pct_gdp
1990-01-01,3.32894989544945
1991-01-01,3.0341297729131
1992-01-01,2.95188557466463
1993-01-01,2.78083750929407
1994-01-01,2.59726521872388
1995-01-01,2.36819806372912
1996-01-01,2.29372365710732
1997-01-01,2.30351545540121
1998-01-01,2.24722488238228
1999-01-01,2.2013098585886
2000-01-01,2.19279532924647
2001-01-01,2.22728406765288
2002-01-01,2.32921912501455
2003-01-01,2.38842419251385
2004-01-01,2.38765412344928
2005-01-01,2.39059168502074
2006-01-01,2.34992422352905
2007-01-01,2.31100176012785
2008-01-01,2.37247579108089
2009-01-01,2.60276094508988
2010-01-01,2.50458768598385
2011-01-01,2.39664839881932
2012-01-01,2.36052984819248
2013-01-01,2.29239361517697
2014-01-01,2.24310250705948
2015-01-01,2.24039431287494
2016-01-01,2.19467868817892
2017-01-01,2.14672293656188
2018-01-01,2.12012285558645
2019-01-01,2.16488082926072
2020-01-01,2.31140999047742
2021-01-01,2.16493506667304
2022-01-01,2.21511713345646
2023-01-01,2.3087477533184
