model,rmse_vix,r2_vix,f1_stress,precision,recall,auc_stress,n_stress_detected,n_stress_true,dm_vs_lsr_stat,dm_vs_lsr_pvalue
LSR,1.017773709319911,0.19137010401297871,0.0,0.0,0.0,0.46022727272727276,,,,
RBF-SVM,1.0387740638436516,0.15765591119457645,0.0,0.0,0.0,0.39204545454545453,,,,
RF,1.168217068739917,-0.06535520513029991,,,,,,,,
LSTM,1.032866603609718,0.16720941260458932,,,,,,,,
VAR,1.1794933303807034,-0.08032327785171733,,,,,,,,
HQG-KRR,0.988491601106232,0.2372305255742284,,,,,,,-0.2099,0.8338
HQG-KRR-Adaptive,0.9632138641363565,0.27574285661345266,,,,,,,,
HQG-Ensemble,0.988491601106232,0.2372305255742284,,,,,,,,
HQG-SVM,,,0.2,0.16666666666666666,0.25,0.53125,,,,
